order_id,created_at_utc,channel,amount_cents,status,deleted_at,customer_region
ORD-000028,2025-03-03T22:21:05Z,web,50748,refunded,,US-W
ORD-000029,2025-06-05T17:03:31Z,partner,12526,active,,US-E
ORD-000030,2025-01-10T17:38:01Z,partner,78235,cancelled,,US-W
ORD-000031,2025-10-04T22:10:39Z,mobile,89428,active,,US-E
ORD-000032,2025-02-11T19:09:00Z,mobile,59202,cancelled,,CA
ORD-000033,2025-10-30T18:31:01Z,web,51616,refunded,,CA
ORD-000034,2025-02-22T18:28:52Z,mobile,79314,completed,,US-E
ORD-000035,2025-07-09T17:40:15Z,partner,74333,completed,,CA
ORD-000036,2025-08-09T15:58:59Z,partner,35164,completed,,US-W
ORD-000037,2025-08-25T17:56:49Z,mobile,11230,completed,,US-C
ORD-000038,2025-08-03T17:25:08Z,mobile,35424,cancelled,,US-W
ORD-000039,2025-05-26T22:17:36Z,partner,60393,refunded,,CA
ORD-000040,2025-03-12T16:49:36Z,web,37432,completed,,US-W
ORD-000041,2025-12-30T18:58:48Z,partner,88066,cancelled,,CA
ORD-000042,2025-05-30T07:53:42Z,web,41652,cancelled,,US-C
ORD-000043,2025-01-14T19:35:35Z,web,43656,completed,,CA
ORD-000044,2025-04-18T14:35:23Z,mobile,70089,refunded,,CA
ORD-000045,2025-12-02T16:28:40Z,web,4317,active,2025-12-06T13:28:40Z,US-E
ORD-000046,2025-03-30T22:01:57Z,mobile,75716,refunded,,US-E
ORD-000047,2025-09-05T22:40:41Z,legacy_pos,89350,active,,CA
ORD-000048,2025-02-12T19:13:47Z,partner,38636,completed,,US-E
ORD-000049,2025-10-30T22:15:48Z,web,62742,refunded,,CA
ORD-000050,2025-11-27T20:09:27Z,legacy_pos,20300,refunded,,US-E
ORD-000051,2025-05-26T22:42:08Z,mobile,41449,active,,CA
ORD-000052,2025-09-21T21:41:21Z,partner,10781,cancelled,,US-W
ORD-000053,2025-09-24T18:13:56Z,partner,5243,active,,US-C
ORD-000054,2025-11-09T22:15:53Z,mobile,14248,active,,US-W
ORD-000055,2025-11-03T18:08:05Z,mobile,81624,active,,US-E
ORD-000056,2025-02-08T22:27:15Z,partner,70474,completed,,US-W
ORD-000057,2025-02-10T15:22:08Z,mobile,73023,cancelled,,US-W
ORD-000058,2025-11-27T16:28:11Z,partner,89834,refunded,,US-C
ORD-000059,2025-03-01T17:20:46Z,web,21635,refunded,,CA
ORD-000060,2025-01-25T22:24:11Z,web,70819,active,,US-E
ORD-000061,2025-03-12T14:18:29Z,web,79028,active,,US-E
ORD-000062,2025-07-09T18:36:57Z,web,66901,cancelled,,CA
ORD-000063,2025-06-03T20:25:31Z,web,43528,active,,US-W
ORD-000064,2025-06-25T19:42:52Z,partner,5551,active,,US-E
ORD-000065,2025-07-10T20:43:44Z,mobile,48380,active,,CA
ORD-000066,2025-04-14T15:33:31Z,web,22037,refunded,,CA
ORD-000067,2025-09-21T15:42:24Z,web,57238,completed,,US-W
ORD-000068,2025-04-05T16:27:00Z,mobile,19902,refunded,,US-E
ORD-000069,2025-07-03T20:26:30Z,partner,51123,completed,,US-E
ORD-000070,2025-01-31T23:25:51Z,web,69347,active,,US-C
ORD-000071,2025-10-31T20:28:58Z,web,64264,completed,,CA
ORD-000072,2025-07-04T16:12:13Z,web,30676,active,,US-E
ORD-000073,2025-05-16T14:56:09Z,partner,42350,active,,CA
ORD-000074,2025-03-13T19:36:13Z,mobile,11401,refunded,,CA
ORD-000075,2025-08-19T15:48:38Z,web,55129,cancelled,,US-E
ORD-000076,2025-11-11T20:37:23Z,web,61794,cancelled,,US-C
ORD-000077,2025-07-10T18:38:44Z,partner,27258,cancelled,,US-E
ORD-000078,2025-05-23T16:15:28Z,mobile,54017,cancelled,,CA
ORD-000079,2025-12-30T23:51:34Z,web,53693,refunded,,US-W
ORD-000080,2025-11-08T22:47:04Z,web,28233,active,,US-W
ORD-000081,2025-04-11T18:39:38Z,mobile,13241,cancelled,,US-W
ORD-000082,2025-04-24T16:16:26Z,mobile,69461,refunded,,US-W
ORD-000083,2025-11-13T19:23:05Z,web,10906,active,,US-C
ORD-000084,2025-05-10T20:37:23Z,mobile,32521,cancelled,,US-C
ORD-000085,2025-05-31T22:44:50Z,mobile,25645,cancelled,,US-C
ORD-000086,2025-02-23T22:51:44Z,web,9137,completed,,US-W
ORD-000087,2025-06-17T15:56:33Z,partner,87212,active,,US-E
ORD-000088,2025-11-04T22:13:05Z,web,16393,completed,,US-W
ORD-000089,2025-02-13T23:30:48Z,partner,11708,completed,,US-E
ORD-000090,2025-11-04T21:33:02Z,web,12186,refunded,,US-W
ORD-000091,2025-01-10T17:42:33Z,web,40235,active,,US-E
ORD-000092,2025-09-05T18:41:52Z,legacy_pos,15400,completed,,US-C
ORD-000093,2025-01-07T17:26:01Z,web,38817,refunded,,US-C
ORD-000094,2025-10-02T15:11:30Z,partner,57227,completed,,US-E
ORD-000095,2025-11-22T21:41:06Z,mobile,8864,refunded,,US-W
ORD-000096,2025-04-26T19:35:35Z,web,14549,completed,,US-E
ORD-000097,2025-03-12T17:15:34Z,mobile,33501,refunded,,CA
ORD-000098,2025-06-21T21:45:27Z,mobile,28261,active,,CA
ORD-000099,2025-07-11T14:04:44Z,mobile,80784,active,,US-E
ORD-000100,2025-03-06T18:25:00Z,web,84461,active,,CA
ORD-000101,2025-03-25T16:46:25Z,mobile,59530,refunded,2025-03-28T14:46:25Z,US-W
ORD-000102,2025-04-15T19:47:56Z,mobile,66364,completed,,US-W
ORD-000103,2025-02-07T18:31:11Z,legacy_pos,61500,refunded,,US-E
ORD-000104,2025-08-18T18:21:30Z,mobile,4447,cancelled,,CA
ORD-000105,2025-05-19T21:29:13Z,legacy_pos,25800,active,,CA
ORD-000106,2025-05-13T14:30:20Z,web,1811,cancelled,,CA
ORD-000107,2025-02-10T19:55:23Z,web,800,refunded,,US-E
ORD-000108,2025-09-30T16:54:52Z,web,39641,completed,,US-E
ORD-000109,2025-09-08T20:14:37Z,mobile,6011,completed,,US-W
ORD-000110,2025-01-14T19:24:21Z,mobile,50024,refunded,,US-W
ORD-000111,2025-11-01T07:09:35Z,web,6864,cancelled,,US-W
ORD-000112,2025-05-10T22:32:54Z,mobile,78603,refunded,,US-C
ORD-000113,2025-08-07T18:47:06Z,mobile,81867,refunded,,CA
ORD-000114,2025-12-23T19:05:11Z,mobile,2366,active,,CA
ORD-000115,2025-03-29T18:19:57Z,mobile,36504,active,,CA
ORD-000116,2025-05-10T21:30:09Z,mobile,68839,cancelled,,US-W
ORD-000117,2025-01-16T19:02:02Z,partner,43177,completed,,CA
ORD-000118,2025-09-09T21:54:05Z,mobile,79497,cancelled,,US-W
ORD-000119,2025-05-15T20:36:33Z,partner,81137,cancelled,,US-W
ORD-000120,2025-12-05T16:01:44Z,web,58686,completed,,CA
ORD-000121,2025-08-25T17:20:42Z,partner,40177,cancelled,,US-C
ORD-000122,2025-05-08T18:31:37Z,partner,36071,completed,2025-05-12T14:31:37Z,US-W
ORD-000123,2025-12-08T16:54:50Z,mobile,79844,active,,CA
ORD-000124,2025-09-25T15:02:14Z,partner,45552,cancelled,,US-W
ORD-000125,2025-07-05T16:49:02Z,mobile,35183,refunded,,US-E
ORD-000126,2025-08-09T20:48:41Z,web,35088,refunded,,US-C
ORD-000127,2025-01-04T20:31:40Z,mobile,63593,active,,US-C
ORD-000128,2025-06-28T14:37:37Z,mobile,43212,active,,US-E
ORD-000129,2025-12-27T23:12:59Z,partner,35026,active,,US-E
ORD-000130,2025-04-20T19:25:52Z,mobile,50776,refunded,,US-W
ORD-000131,2025-07-10T17:41:54Z,web,26713,cancelled,2025-07-17T01:41:54Z,US-E
ORD-000132,2025-04-03T17:09:05Z,partner,88905,active,,US-E
ORD-000133,2025-07-09T20:28:11Z,mobile,25995,cancelled,2025-07-12T11:28:11Z,US-E
ORD-000134,2025-11-07T18:14:33Z,mobile,37235,active,,US-C
ORD-000135,2025-06-09T15:51:08Z,partner,52283,completed,,US-E
ORD-000136,2025-07-21T14:29:02Z,web,29786,refunded,,US-W
ORD-000137,2025-10-12T15:53:14Z,mobile,75888,active,,US-C
ORD-000138,2025-05-18T20:32:44Z,web,20317,refunded,,US-W
ORD-000139,2025-09-01T15:05:09Z,mobile,86110,refunded,,US-W
ORD-000140,2025-06-19T18:47:10Z,web,23703,cancelled,,US-W
ORD-000141,2025-12-22T15:51:31Z,mobile,16233,cancelled,,CA
ORD-000142,2025-12-31T20:42:13Z,partner,39428,cancelled,,CA
ORD-000143,2025-03-18T16:42:25Z,web,51731,refunded,,US-W
ORD-000144,2025-02-05T22:48:07Z,mobile,65930,refunded,,US-E
ORD-000145,2025-07-26T21:20:20Z,web,69901,completed,,US-C
ORD-000146,2025-10-27T22:25:36Z,partner,25978,completed,,US-C
ORD-000147,2025-09-20T20:09:17Z,partner,16827,refunded,,US-C
ORD-000148,2025-06-24T22:27:06Z,web,51303,cancelled,,US-W
ORD-000149,2025-06-06T14:46:54Z,web,6041,cancelled,,US-E
ORD-000150,2025-12-19T16:26:46Z,partner,78409,completed,,CA
ORD-000151,2025-06-30T21:44:21Z,web,69942,refunded,,US-E
ORD-000152,2025-09-29T18:43:05Z,mobile,66882,refunded,2025-10-05T21:43:05Z,US-W
ORD-000153,2025-11-30T18:41:10Z,mobile,79499,completed,,CA
ORD-000154,2025-02-21T23:34:57Z,partner,84771,cancelled,2025-02-25T08:34:57Z,US-E
ORD-000155,2025-12-09T22:28:33Z,mobile,72469,completed,,US-W
ORD-000156,2025-08-23T16:14:45Z,partner,86970,cancelled,,US-W
ORD-000157,2025-06-27T14:18:22Z,mobile,19300,active,,CA
ORD-000158,2025-06-19T22:11:01Z,partner,35909,active,2025-06-22T16:11:01Z,US-W
ORD-000159,2025-03-20T19:48:56Z,partner,3572,refunded,,CA
ORD-000160,2025-01-05T21:55:55Z,partner,83096,refunded,,US-C
ORD-000161,2025-06-27T20:48:14Z,web,41274,completed,,US-E
ORD-000162,2025-01-27T04:10:55Z,partner,8858,completed,,US-E
ORD-000163,2025-09-07T15:59:55Z,web,52085,active,,US-W
ORD-000164,2025-10-09T16:49:09Z,web,76066,refunded,,US-E
ORD-000165,2025-03-14T22:03:21Z,partner,3058,completed,,CA
ORD-000166,2025-03-31T19:57:15Z,mobile,5161,active,,CA
ORD-000167,2025-08-31T21:29:40Z,partner,43023,active,,CA
ORD-000168,2025-03-02T20:59:36Z,mobile,44642,cancelled,,CA
ORD-000169,2025-11-30T15:54:49Z,partner,12192,cancelled,,US-E
ORD-000170,2025-02-10T22:06:17Z,web,89201,cancelled,,US-W
ORD-000171,2025-08-20T17:14:15Z,partner,19252,cancelled,,US-C
ORD-000172,2025-02-27T23:32:25Z,partner,7504,refunded,,US-C
ORD-000173,2025-01-29T20:53:41Z,partner,56325,completed,,US-E
ORD-000174,2025-04-10T15:23:35Z,web,76147,cancelled,,CA
ORD-000175,2025-08-21T14:45:17Z,partner,22901,completed,,US-E
ORD-000176,2025-05-16T21:27:10Z,web,32562,cancelled,,US-E
ORD-000177,2025-03-03T16:08:28Z,legacy_pos,27133,refunded,,CA
ORD-000178,2025-01-13T15:36:23Z,mobile,87336,cancelled,,CA
ORD-000179,2025-08-25T15:17:41Z,partner,36003,refunded,,US-W
ORD-000180,2025-02-19T18:21:52Z,mobile,23671,active,,US-E
ORD-000181,2025-03-06T20:48:58Z,web,37658,active,,US-C
ORD-000182,2025-09-13T22:40:58Z,mobile,23968,completed,,US-W
ORD-000183,2025-10-09T14:00:08Z,mobile,13043,cancelled,,US-W
ORD-000184,2025-05-01T19:43:53Z,web,60448,completed,,US-C
ORD-000185,2025-07-08T14:49:48Z,web,59310,refunded,,US-W
ORD-000186,2025-02-20T16:38:57Z,partner,64021,active,,CA
ORD-000187,2025-04-10T17:00:39Z,mobile,22141,completed,,CA
ORD-000188,2025-09-12T17:56:45Z,partner,77620,active,,CA
ORD-000189,2025-12-07T15:29:06Z,partner,48811,cancelled,,US-E
ORD-000190,2025-01-21T21:38:09Z,mobile,54823,cancelled,,CA
ORD-000191,2025-06-15T14:15:01Z,mobile,89371,refunded,,US-W
ORD-000192,2025-09-28T15:21:28Z,legacy_pos,85000,active,,US-E
ORD-000193,2025-08-30T22:25:03Z,mobile,39023,cancelled,,US-W
ORD-000194,2025-07-31T19:09:48Z,mobile,79423,completed,,CA
ORD-000195,2025-08-05T14:56:49Z,mobile,88051,refunded,,US-E
ORD-000196,2025-07-22T20:30:11Z,partner,54587,refunded,,US-E
ORD-000197,2025-11-14T23:07:18Z,mobile,82047,completed,,CA
ORD-000198,2025-03-30T21:01:17Z,mobile,24230,refunded,,CA
ORD-000199,2025-09-23T14:18:22Z,web,7832,completed,,US-C
ORD-000200,2025-06-12T20:39:21Z,web,929,completed,,US-E
ORD-000201,2025-01-21T04:35:37Z,partner,50284,refunded,,US-W
ORD-000202,2025-05-01T17:14:42Z,partner,73529,active,,US-E
ORD-000203,2025-05-02T20:33:17Z,legacy_pos,81300,refunded,,CA
ORD-000204,2025-04-28T14:18:54Z,web,71226,refunded,,CA
ORD-000205,2025-08-05T21:24:01Z,web,77228,active,,US-C
ORD-000206,2025-08-30T15:14:44Z,web,44533,completed,,CA
ORD-000207,2025-01-11T20:52:00Z,partner,19525,cancelled,,CA
ORD-000208,2025-12-15T19:06:49Z,partner,35301,completed,,US-E
ORD-000209,2025-05-11T17:59:10Z,mobile,45528,cancelled,,US-W
ORD-000210,2025-11-20T15:05:01Z,mobile,61651,refunded,,US-W
ORD-000211,2025-07-05T20:45:06Z,web,51591,completed,,CA
ORD-000212,2025-10-29T18:21:12Z,mobile,77912,completed,,US-E
ORD-000213,2025-11-02T18:46:48Z,web,78712,refunded,,US-W
ORD-000214,2025-07-23T20:17:17Z,legacy_pos,72600,active,,US-W
ORD-000215,2025-12-14T22:39:48Z,legacy_pos,2200,refunded,,US-E
ORD-000216,2025-07-04T16:47:12Z,mobile,22643,refunded,,US-W
ORD-000217,2025-03-26T22:27:50Z,web,17498,refunded,,US-E
ORD-000218,2025-11-09T18:42:49Z,mobile,16472,refunded,2025-11-14T07:42:49Z,US-E
ORD-000219,2025-04-19T17:44:42Z,partner,78070,completed,,CA
ORD-000220,2025-08-06T01:39:59Z,mobile,27233,active,,US-W
ORD-000221,2025-01-31T16:20:29Z,partner,28785,refunded,,US-E
ORD-000222,2025-12-03T18:32:58Z,web,83456,cancelled,,US-W
ORD-000223,2025-01-20T18:20:19Z,web,50185,refunded,,CA
ORD-000224,2025-08-08T19:35:03Z,partner,29352,completed,,US-C
ORD-000225,2025-11-06T20:23:26Z,mobile,80874,completed,,US-E
ORD-000226,2025-06-22T20:37:31Z,partner,17646,completed,,CA
ORD-000227,2025-11-13T19:16:12Z,legacy_pos,3100,refunded,,US-E
ORD-000228,2025-08-14T15:57:26Z,web,46306,cancelled,,US-C
ORD-000229,2025-12-31T20:31:55Z,mobile,50476,cancelled,,US-E
ORD-000230,2025-12-03T20:34:18Z,partner,10338,completed,,US-W
ORD-000231,2025-02-19T18:07:56Z,partner,89010,active,,US-E
ORD-000232,2025-06-18T07:30:56Z,mobile,710,refunded,,US-W
ORD-000233,2025-01-07T16:39:57Z,web,31730,cancelled,,US-W
ORD-000234,2025-08-23T16:18:25Z,mobile,9714,cancelled,,US-W
ORD-000235,2025-08-17T19:40:23Z,partner,59195,refunded,,CA
ORD-000236,2025-11-11T23:52:14Z,mobile,39518,active,,CA
ORD-000237,2025-05-03T20:44:49Z,web,6125,completed,,US-W
ORD-000238,2025-01-12T18:23:19Z,mobile,84212,completed,,US-E
ORD-000239,2025-12-21T22:57:22Z,partner,77305,refunded,2025-12-22T15:57:22Z,CA
ORD-000240,2025-10-28T17:18:49Z,mobile,74375,cancelled,,US-E
ORD-000241,2025-01-13T15:42:14Z,partner,60688,cancelled,,US-W
ORD-000242,2025-07-25T20:44:05Z,mobile,12529,completed,,CA
ORD-000243,2025-01-06T16:46:06Z,web,68744,active,,US-W
ORD-000244,2025-05-25T17:55:40Z,web,89347,active,,US-C
ORD-000245,2025-07-08T14:52:34Z,web,64944,cancelled,,CA
ORD-000246,2025-10-20T21:45:08Z,partner,41667,cancelled,,US-E
ORD-000247,2025-10-06T21:09:08Z,partner,18069,active,,CA
ORD-000248,2025-02-18T19:51:27Z,mobile,84516,cancelled,,US-E
ORD-000249,2025-01-14T17:14:22Z,partner,27218,completed,,US-C
ORD-000250,2025-12-19T21:13:07Z,mobile,25381,refunded,,US-C
ORD-000251,2025-12-31T19:24:00Z,web,30406,cancelled,,US-E
ORD-000252,2025-03-25T19:46:57Z,web,4957,refunded,,US-C
ORD-000253,2025-10-25T15:23:02Z,web,73029,completed,,US-W
ORD-000254,2025-06-24T19:52:33Z,web,42342,active,,US-W
ORD-000255,2025-02-11T18:58:50Z,mobile,65883,refunded,,US-C
ORD-000256,2025-06-18T21:54:36Z,partner,47982,completed,,US-E
ORD-000257,2025-07-23T15:59:27Z,partner,28385,cancelled,,US-W
ORD-000258,2025-12-13T21:16:20Z,mobile,84331,cancelled,,US-E
ORD-000259,2025-10-05T19:28:29Z,partner,65826,completed,,CA
ORD-000260,2025-09-11T19:01:28Z,web,43239,cancelled,,CA
ORD-000261,2025-04-15T17:02:19Z,mobile,55333,completed,,US-W
ORD-000262,2025-09-23T15:45:40Z,partner,31597,cancelled,,US-E
ORD-000263,2025-06-06T16:03:16Z,web,54591,cancelled,,US-C
ORD-000264,2025-06-17T21:44:32Z,mobile,45700,active,,US-W
ORD-000265,2025-11-11T20:07:57Z,partner,89073,completed,,US-W
ORD-000266,2025-04-08T16:33:06Z,mobile,72054,refunded,,US-C
ORD-000267,2025-11-29T23:17:57Z,partner,8723,completed,,CA
ORD-000268,2025-09-22T19:33:44Z,partner,68602,cancelled,,US-E
ORD-000269,2025-02-06T23:08:06Z,web,51154,active,,US-E
ORD-000270,2025-10-13T14:51:17Z,web,28389,refunded,,CA
ORD-000271,2025-02-03T18:49:45Z,partner,15183,active,,CA
ORD-000272,2025-03-18T19:06:04Z,web,69872,cancelled,,US-W
ORD-000273,2025-05-10T17:59:01Z,web,29804,refunded,,US-C
ORD-000274,2025-11-25T18:27:05Z,mobile,83466,cancelled,,CA
ORD-000275,2025-03-26T22:21:24Z,web,5238,completed,,US-E
ORD-000276,2025-01-12T20:03:45Z,partner,69151,active,,US-E
ORD-000277,2025-06-01T18:47:09Z,web,8336,active,,CA
ORD-000278,2025-10-16T20:58:57Z,mobile,44326,refunded,,CA
ORD-000279,2025-09-05T17:09:55Z,web,6394,cancelled,,US-C
ORD-000280,2025-05-16T22:20:38Z,partner,70829,refunded,,US-W
ORD-000281,2025-09-07T17:58:10Z,mobile,66893,active,,US-C
ORD-000282,2025-08-03T14:09:54Z,mobile,2558,cancelled,,CA
ORD-000283,2025-05-04T16:46:24Z,mobile,51029,refunded,,US-C
ORD-000284,2025-01-23T22:43:56Z,mobile,81028,active,,US-E
ORD-000285,2025-04-28T20:42:16Z,partner,9886,completed,,US-E
ORD-000286,2025-11-27T20:05:28Z,partner,73587,completed,,US-W
ORD-000287,2025-03-20T18:20:39Z,mobile,66862,active,,US-W
ORD-000288,2025-04-24T19:41:33Z,mobile,82920,cancelled,,CA
ORD-000289,2025-07-28T14:10:15Z,mobile,58629,completed,,CA
ORD-000290,2025-07-20T21:19:46Z,partner,64255,active,,US-E
ORD-000291,2025-08-24T14:37:18Z,mobile,73068,cancelled,,CA
ORD-000292,2025-04-20T20:47:15Z,mobile,46035,cancelled,,US-W
ORD-000293,2025-02-11T22:00:02Z,partner,43658,refunded,,US-C
ORD-000294,2025-10-07T14:40:22Z,mobile,76852,active,,US-W
ORD-000295,2025-04-24T19:57:02Z,mobile,55106,active,,US-E
ORD-000296,2025-03-19T18:52:53Z,mobile,7277,active,,US-C
ORD-000297,2025-07-14T22:42:47Z,web,39666,refunded,,US-E
ORD-000298,2025-11-15T22:22:10Z,partner,37829,refunded,,US-W
ORD-000299,2025-05-24T16:24:58Z,partner,56902,completed,,US-C
ORD-000300,2025-10-26T15:18:52Z,web,67012,cancelled,,US-C
ORD-000301,2025-08-03T14:47:04Z,mobile,34251,cancelled,,US-E
ORD-000302,2025-02-12T21:13:31Z,mobile,46145,active,,US-E
ORD-000303,2025-03-22T15:58:23Z,web,80504,completed,,US-C
ORD-000304,2025-06-24T16:30:53Z,web,84190,active,,US-W
ORD-000305,2025-02-12T22:12:12Z,partner,30307,cancelled,,CA
ORD-000306,2025-01-22T21:46:26Z,mobile,71443,completed,,CA
ORD-000307,2025-02-05T19:58:47Z,web,78747,refunded,,US-E
ORD-000308,2025-06-05T14:25:04Z,mobile,51969,cancelled,,US-W
ORD-000309,2025-04-18T14:28:03Z,partner,5361,refunded,,CA
ORD-000310,2025-07-08T14:58:36Z,mobile,3836,cancelled,,CA
ORD-000311,2025-02-02T16:39:11Z,partner,88996,refunded,,CA
ORD-000312,2025-07-16T15:45:23Z,web,33089,completed,,US-C
ORD-000313,2025-08-06T16:20:41Z,partner,87350,cancelled,,CA
ORD-000314,2025-04-24T22:27:41Z,web,27959,active,,CA
ORD-000315,2025-12-20T21:13:48Z,partner,87289,cancelled,,US-E
ORD-000316,2025-06-13T16:35:16Z,web,81299,completed,,CA
ORD-000317,2025-09-25T19:34:18Z,partner,52630,refunded,,CA
ORD-000318,2025-12-31T18:23:30Z,partner,20237,completed,,US-C
ORD-000319,2025-12-12T19:27:23Z,partner,86173,cancelled,,CA
ORD-000320,2025-06-10T21:39:00Z,mobile,50818,cancelled,,US-C
ORD-000321,2025-12-07T17:25:22Z,web,14402,active,,US-C
ORD-000322,2025-02-04T21:37:16Z,partner,35825,completed,,US-E
ORD-000323,2025-08-09T15:41:43Z,partner,42374,active,,US-E
ORD-000324,2025-12-05T20:19:07Z,mobile,78874,refunded,,US-C
ORD-000325,2025-08-06T14:26:06Z,partner,38625,refunded,,CA
ORD-000326,2025-01-08T15:11:14Z,mobile,73215,refunded,,US-C
ORD-000327,2025-10-28T20:26:13Z,partner,13939,cancelled,,US-W
ORD-000328,2025-05-16T22:22:32Z,web,41096,active,,CA
ORD-000329,2025-04-18T17:57:09Z,web,73568,cancelled,,US-E
ORD-000330,2025-11-14T15:31:08Z,partner,83375,active,,CA
ORD-000331,2025-07-21T18:34:44Z,partner,38848,cancelled,,CA
ORD-000332,2025-01-30T07:14:18Z,partner,87082,completed,,US-C
ORD-000333,2025-05-16T02:37:11Z,web,86657,refunded,,US-C
ORD-000334,2025-12-16T15:33:50Z,mobile,37533,refunded,,CA
ORD-000335,2025-10-19T22:01:05Z,mobile,39794,refunded,,US-C
ORD-000336,2025-05-15T14:58:53Z,web,863,refunded,,CA
ORD-000337,2025-11-11T17:47:33Z,mobile,27764,refunded,,US-C
ORD-000338,2025-04-28T18:26:44Z,mobile,27583,refunded,,US-E
ORD-000339,2025-07-12T14:48:51Z,partner,77819,cancelled,,US-E
ORD-000340,2025-06-19T22:48:49Z,mobile,20886,cancelled,,US-C
ORD-000341,2025-09-09T19:56:31Z,partner,86264,refunded,,CA
ORD-000342,2025-02-22T22:34:07Z,web,21791,completed,,CA
ORD-000343,2025-07-17T21:10:58Z,web,62948,cancelled,,US-C
ORD-000344,2025-02-03T19:31:01Z,partner,32873,active,,US-W
ORD-000345,2025-10-25T17:01:27Z,partner,79849,active,,CA
ORD-000346,2025-07-10T16:44:08Z,mobile,37558,active,,US-E
ORD-000347,2025-10-08T17:20:56Z,web,57363,cancelled,,US-W
ORD-000348,2025-01-18T19:09:46Z,mobile,10176,completed,,US-W
ORD-000349,2025-03-28T22:51:32Z,partner,16314,completed,,CA
ORD-000350,2025-05-08T21:46:27Z,mobile,81203,cancelled,,US-W
ORD-000351,2025-05-19T20:29:44Z,partner,71725,refunded,,US-W
ORD-000352,2025-04-23T20:01:10Z,mobile,66940,cancelled,,US-E
ORD-000353,2025-07-05T20:34:42Z,mobile,84396,completed,,US-W
ORD-000354,2025-07-18T17:33:28Z,legacy_pos,15600,refunded,,US-E
ORD-000355,2025-09-16T18:12:44Z,web,43999,cancelled,,CA
ORD-000356,2025-02-13T15:34:48Z,web,59730,refunded,,US-C
ORD-000357,2025-06-28T18:38:52Z,web,16494,active,,US-C
ORD-000358,2025-12-07T23:08:43Z,web,24190,active,,US-W
ORD-000359,2025-10-26T22:42:12Z,partner,60939,refunded,,US-E
ORD-000360,2025-03-25T20:36:20Z,partner,49608,completed,,US-E
ORD-000361,2025-10-13T22:17:35Z,partner,46492,refunded,,US-C
ORD-000362,2025-01-23T23:06:09Z,web,24353,refunded,,CA
ORD-000363,2025-07-30T17:25:56Z,mobile,16155,refunded,,US-W
ORD-000364,2025-09-02T19:26:07Z,web,84103,completed,,US-E
ORD-000365,2025-09-03T18:07:59Z,mobile,76568,refunded,,US-W
ORD-000366,2025-11-24T22:27:00Z,web,11355,cancelled,,US-C
ORD-000367,2025-05-25T16:18:42Z,mobile,73108,active,,US-C
ORD-000368,2025-02-02T16:55:04Z,partner,54847,refunded,,US-W
ORD-000369,2025-02-07T15:07:37Z,mobile,22046,completed,,CA
ORD-000370,2025-11-09T15:59:58Z,partner,69758,active,,US-C
ORD-000371,2025-03-07T17:13:45Z,partner,65413,cancelled,,CA
ORD-000372,2025-12-06T20:09:24Z,web,14924,completed,,CA
ORD-000373,2025-07-15T07:22:20Z,web,65314,cancelled,,US-E
ORD-000374,2025-04-03T16:16:53Z,mobile,25577,refunded,,CA
ORD-000375,2025-08-17T14:30:03Z,mobile,26720,refunded,,CA
ORD-000376,2025-12-10T21:42:04Z,partner,75053,completed,,US-C
ORD-000377,2025-11-29T16:20:13Z,partner,23185,cancelled,,US-E
