entry_id,order_id,business_date,amount_usd,currency,batch_id
LE-0000058,ORD-008129,2025-10-16,825.16,USD,B058
LE-0000059,ORD-009074,2025-04-16,277.79,USD,B059
LE-0000060,ORD-002323,2025-02-27,482.04,USD,B060
LE-0000061,ORD-005261,2025-08-14,71.60,USD,B061
LE-0000062,ORD-004985,2025-05-05,539.58,USD,B062
LE-0000063,ORD-006938,2025-01-10,789.86,USD,B063
LE-0000064,ORD-002100,2025-07-01,74.81,USD,B064
LE-0000065,ORD-002398,2025-10-17,430.26,USD,B065
LE-0000066,ORD-001163,2025-07-20,272.28,USD,B066
LE-0000067,ORD-003755,2025-02-09,241.44,USD,B067
LE-0000068,ORD-005566,2025-08-06,818.63,USD,B068
LE-0000069,ORD-007474,2025-12-08,499.60,USD,B069
LE-0000070,ORD-008914,2025-08-18,56.72,USD,B070
LE-0000071,ORD-010114,2025-07-19,547.47,USD,B071
LE-0000072,ORD-008943,2025-02-22,28.83,USD,B072
LE-0000073,ORD-008881,2025-10-26,200.31,USD,B073
LE-0000074,ORD-005221,2025-06-29,583.78,USD,B074
LE-0000075,ORD-002753,2025-02-27,365.02,USD,B075
LE-0000076,ORD-001897,2025-12-21,214.00,USD,B076
LE-0000077,ORD-008017,2025-02-05,787.43,USD,B077
LE-0000078,ORD-005906,2025-01-26,366.38,USD,B078
LE-0000079,ORD-009436,2025-12-21,410.37,USD,B079
LE-0000080,ORD-009301,2025-07-29,148.66,USD,B080
LE-0000081,ORD-004469,2025-05-28,387.93,USD,B081
LE-0000082,ORD-011393,2025-05-04,524.34,USD,B082
LE-0000083,ORD-010388,2025-10-06,892.39,USD,B083
LE-0000084,ORD-001151,2025-08-20,327.10,USD,B084
LE-0000085,ORD-005740,2025-03-16,841.93,USD,B085
LE-0000086,ORD-003426,2025-07-24,775.83,USD,B086
LE-0000087,ORD-007815,2025-05-27,413.15,USD,B087
LE-0000088,ORD-005647,2025-07-18,661.93,USD,B088
LE-0000089,ORD-007179,2025-01-14,395.58,USD,B089
LE-0000090,ORD-010011,2025-04-20,105.66,USD,B090
LE-0000091,ORD-000636,2025-08-28,703.64,USD,B091
LE-0000092,ORD-001934,2025-10-11,189.09,USD,B092
LE-0000093,ORD-003359,2025-02-15,865.71,USD,B093
LE-0000094,ORD-006567,2025-12-29,645.41,USD,B094
LE-0000095,ORD-004667,2025-08-12,739.32,USD,B095
LE-0000096,ORD-011401,2025-12-20,891.57,USD,B096
LE-0000097,ORD-004777,2025-07-05,781.09,USD,B000
LE-0000098,ORD-006953,2025-11-24,276.71,USD,B001
LE-0000099,ORD-008291,2025-06-30,724.65,USD,B002
LE-0000100,ORD-009001,2025-08-06,645.71,USD,B003
LE-0000101,ORD-008525,2025-01-06,827.52,USD,B004
LE-0000102,ORD-009843,2025-07-11,320.14,USD,B005
LE-0000103,ORD-008084,2025-03-21,346.68,USD,B006
LE-0000104,ORD-008214,2025-05-29,774.27,USD,B007
LE-0000105,ORD-002931,2025-09-30,735.29,USD,B008
LE-0000106,ORD-005177,2025-06-10,728.93,USD,B009
LE-0000107,ORD-003495,2025-04-15,842.68,USD,B010
LE-0000108,ORD-006639,2025-06-04,769.61,USD,B011
LE-0000109,ORD-006247,2025-09-05,601.60,USD,B012
LE-0000110,ORD-004991,2025-09-12,142.87,USD,B013
LE-0000111,ORD-001593,2025-11-09,46.00,USD,B014
LE-0000112,ORD-007273,2025-12-01,261.72,USD,B015
LE-0000113,ORD-003581,2025-04-15,561.17,USD,B016
LE-0000114,ORD-001376,2025-03-30,502.34,USD,B017
LE-0000115,ORD-005774,2025-08-16,190.66,USD,B018
LE-0000116,ORD-005000,2025-07-12,685.22,USD,B019
LE-0000117,ORD-003544,2025-03-28,76.47,USD,B020
LE-0000118,ORD-004440,2025-04-01,212.06,USD,B021
LE-0000119,ORD-010568,2025-12-07,858.07,USD,B022
LE-0000120,ORD-010874,2025-04-18,466.69,USD,B023
LE-0000121,ORD-008188,2025-12-12,217.03,USD,B024
LE-0000122,ORD-002789,2025-05-18,473.15,USD,B025
LE-0000123,ORD-005535,2025-12-06,51.98,USD,B026
LE-0000124,ORD-008454,2025-02-08,200.36,USD,B027
LE-0000125,ORD-007922,2025-02-01,214.00,USD,B028
LE-0000126,ORD-009446,2025-12-30,169.99,USD,B029
LE-0000127,ORD-009997,2025-04-22,249.90,USD,B030
LE-0000128,ORD-005431,2025-07-13,454.89,USD,B031
LE-0000129,ORD-009572,2025-05-13,439.63,USD,B032
LE-0000130,ORD-006796,2025-03-20,412.22,USD,B033
LE-0000131,ORD-002413,2025-12-08,185.12,USD,B034
LE-0000132,ORD-003586,2025-08-02,305.09,USD,B035
LE-0000133,ORD-000936,2025-11-18,429.96,USD,B036
LE-0000134,ORD-004447,2025-05-25,215.26,USD,B037
LE-0000135,ORD-001952,2025-10-07,297.39,USD,B038
LE-0000136,ORD-002251,2025-03-18,566.34,USD,B039
LE-0000137,ORD-010377,2025-04-16,800.08,USD,B040
LE-0000138,ORD-005081,2025-10-29,349.76,USD,B041
LE-0000139,ORD-000979,2025-06-27,396.24,USD,B042
LE-0000140,ORD-008934,2025-05-11,690.92,USD,B043
LE-0000141,ORD-004471,2025-06-14,679.50,USD,B044
LE-0000142,ORD-009840,2025-10-16,699.96,USD,B045
LE-0000143,ORD-009287,2025-09-09,219.01,USD,B046
LE-0000144,ORD-006682,2025-12-12,541.85,USD,B047
LE-0000145,ORD-005871,2025-04-05,248.80,USD,B048
LE-0000146,ORD-000865,2025-04-14,560.69,USD,B049
LE-0000147,ORD-004153,2025-05-23,613.68,USD,B050
LE-0000148,ORD-004915,2025-07-02,751.93,USD,B051
LE-0000149,ORD-008145,2025-09-28,756.58,USD,B052
LE-0000150,ORD-004290,2025-04-12,324.96,USD,B053
LE-0000151,ORD-008026,2025-01-09,671.59,USD,B054
LE-0000152,ORD-009472,2025-06-27,70.36,USD,B055
LE-0000153,ORD-002485,2025-04-09,639.78,USD,B056
LE-0000154,ORD-010065,2025-09-15,423.47,USD,B057
LE-0000155,ORD-011226,2025-09-26,800.88,USD,B058
LE-0000156,ORD-003405,2025-09-06,211.67,USD,B059
LE-0000157,ORD-005411,2025-02-07,648.90,USD,B060
LE-0000158,ORD-010490,2025-05-07,108.12,USD,B061
LE-0000159,ORD-001772,2025-09-26,754.38,USD,B062
LE-0000160,ORD-010326,2025-01-24,510.34,USD,B063
LE-0000161,ORD-003937,2025-03-26,91.61,USD,B064
LE-0000162,ORD-008041,2025-11-14,620.94,USD,B065
LE-0000163,ORD-011814,2025-06-21,153.01,USD,B066
LE-0000164,ORD-009346,2025-05-27,796.53,USD,B067
LE-0000165,ORD-009117,2025-05-11,193.00,USD,B068
LE-0000166,ORD-000198,2025-03-30,242.30,USD,B069
LE-0000167,ORD-000178,2025-01-13,873.36,USD,B070
LE-0000168,ORD-007723,2025-01-18,518.36,USD,B071
LE-0000169,ORD-006147,2025-09-26,487.24,USD,B072
LE-0000170,ORD-009469,2025-06-30,528.75,USD,B073
LE-0000171,ORD-005608,2025-09-23,659.00,USD,B074
LE-0000172,ORD-009810,2025-11-02,708.83,USD,B075
LE-0000173,ORD-004552,2025-04-23,790.15,USD,B076
LE-0000174,ORD-007846,2025-08-23,650.12,USD,B077
LE-0000175,ORD-009011,2025-08-05,486.14,USD,B078
LE-0000176,ORD-003925,2025-04-08,120.75,USD,B079
LE-0000177,ORD-004682,2025-09-06,684.73,USD,B080
LE-0000178,ORD-011404,2025-07-11,67.49,USD,B081
LE-0000179,ORD-009758,2025-03-02,218.42,USD,B082
LE-0000180,ORD-002196,2025-12-11,30.95,USD,B083
LE-0000181,ORD-006404,2025-02-12,444.00,USD,B084
LE-0000182,ORD-011296,2025-10-29,669.39,USD,B085
LE-0000183,ORD-001753,2025-03-15,236.00,USD,B086
LE-0000184,ORD-003771,2025-03-31,684.80,USD,B087
LE-0000185,ORD-004302,2025-01-05,805.45,USD,B088
LE-0000186,ORD-005334,2025-02-03,816.23,USD,B089
LE-0000187,ORD-000015,2025-01-06,268.00,USD,B090
LE-0000188,ORD-004987,2025-11-16,611.73,USD,B091
LE-0000189,ORD-011217,2025-04-25,226.10,USD,B092
LE-0000190,ORD-003120,2025-05-16,794.16,USD,B093
LE-0000191,ORD-007554,2025-09-16,716.44,USD,B094
LE-0000192,ORD-009128,2025-01-07,852.69,USD,B095
LE-0000193,ORD-010673,2025-10-25,885.51,USD,B096
LE-0000194,ORD-003147,2025-01-17,898.81,USD,B000
LE-0000195,ORD-011309,2025-03-17,548.45,USD,B001
LE-0000196,ORD-006111,2025-02-10,545.41,USD,B002
LE-0000197,ORD-006421,2025-03-11,151.00,USD,B003
LE-0000198,ORD-008488,2025-09-08,687.54,USD,B004
LE-0000199,ORD-001877,2025-02-26,653.92,USD,B005
LE-0000200,ORD-005779,2025-02-24,285.36,USD,B006
LE-0000201,ORD-004894,2025-07-05,546.94,USD,B007
LE-0000202,ORD-008681,2025-11-30,483.31,USD,B008
LE-0000203,ORD-007227,2025-09-15,639.66,USD,B009
LE-0000204,ORD-003765,2025-07-19,694.40,USD,B010
LE-0000205,ORD-003411,2025-08-15,335.07,USD,B011
LE-0000206,ORD-010213,2025-08-02,569.61,USD,B012
LE-0000207,ORD-004022,2025-10-11,394.53,USD,B013
LE-0000208,ORD-007999,2025-01-13,21.61,USD,B014
LE-0000209,ORD-005618,2025-10-03,337.64,USD,B015
LE-0000210,ORD-009242,2025-01-11,40.34,USD,B016
LE-0000211,ORD-011842,2025-02-09,158.12,USD,B017
LE-0000212,ORD-001211,2025-08-21,560.47,USD,B018
LE-0000213,ORD-011542,2025-11-21,898.95,USD,B019
LE-0000214,ORD-009991,2025-03-23,51.44,USD,B020
LE-0000215,ORD-002242,2025-09-11,473.69,USD,B021
LE-0000216,ORD-006640,2025-09-18,670.82,USD,B022
LE-0000217,ORD-002308,2025-06-22,398.61,USD,B023
LE-0000218,ORD-011799,2025-01-13,790.86,USD,B024
LE-0000219,ORD-005649,2025-09-24,6.38,USD,B025
LE-0000220,ORD-000096,2025-04-26,145.49,USD,B026
LE-0000221,ORD-009566,2025-08-18,548.75,USD,B027
LE-0000222,ORD-008601,2025-03-19,833.50,USD,B028
LE-0000223,ORD-010628,2025-06-21,80.64,USD,B029
LE-0000224,ORD-004158,2025-03-10,525.56,USD,B030
LE-0000225,ORD-007809,2025-09-22,116.75,USD,B031
LE-0000226,ORD-002570,2025-12-10,635.51,USD,B032
LE-0000227,ORD-005150,2025-08-04,583.41,USD,B033
LE-0000228,ORD-000674,2025-04-01,320.67,USD,B034
LE-0000229,ORD-008677,2025-09-04,608.51,USD,B035
LE-0000230,ORD-005568,2025-03-30,355.93,USD,B036
LE-0000231,ORD-000007,2025-01-15,314.07,USD,B037
LE-0000232,ORD-008232,2025-06-20,781.90,USD,B038
LE-0000233,ORD-006102,2025-09-27,201.70,USD,B039
LE-0000234,ORD-006314,2025-02-17,600.15,USD,B040
LE-0000235,ORD-000387,2025-06-09,824.15,USD,B041
LE-0000236,ORD-003841,2025-10-16,569.11,USD,B042
LE-0000237,ORD-004090,2025-09-04,877.61,USD,B043
LE-0000238,ORD-000857,2025-07-21,240.86,USD,B044
LE-0000239,ORD-001906,2025-10-17,176.85,USD,B045
LE-0000240,ORD-004310,2025-05-14,243.91,USD,B046
LE-0000241,ORD-000331,2025-07-21,388.48,USD,B047
LE-0000242,ORD-008929,2025-01-01,606.88,USD,B048
LE-0000243,ORD-007745,2025-04-02,453.92,USD,B049
LE-0000244,ORD-003888,2025-09-16,699.00,USD,B050
LE-0000245,ORD-008657,2025-01-08,430.18,USD,B051
LE-0000246,ORD-011737,2025-11-05,726.21,USD,B052
LE-0000247,ORD-003664,2025-02-11,875.81,USD,B053
LE-0000248,ORD-010104,2025-09-08,10.46,USD,B054
LE-0000249,ORD-007872,2025-09-18,134.21,USD,B055
LE-0000250,ORD-009295,2025-05-17,279.59,USD,B056
LE-0000251,ORD-006824,2025-08-14,831.08,USD,B057
LE-0000252,ORD-001526,2025-05-09,218.91,USD,B058
LE-0000253,ORD-010847,2025-10-13,691.32,USD,B059
LE-0000254,ORD-011557,2025-09-26,634.68,USD,B060
LE-0000255,ORD-004042,2025-11-23,249.41,USD,B061
LE-0000256,ORD-003219,2025-01-17,63.47,USD,B062
LE-0000257,ORD-000801,2025-12-12,74.38,USD,B063
LE-0000258,ORD-000631,2025-05-11,395.76,USD,B064
LE-0000259,ORD-005838,2025-05-10,475.73,USD,B065
LE-0000260,ORD-008548,2025-12-11,681.99,USD,B066
LE-0000261,ORD-001956,2025-01-30,690.56,USD,B067
LE-0000262,ORD-006506,2025-01-10,602.95,USD,B068
LE-0000263,ORD-009013,2025-05-29,698.47,USD,B069
LE-0000264,ORD-004849,2025-05-25,846.58,USD,B070
LE-0000265,ORD-004564,2025-02-23,75.51,USD,B071
LE-0000266,ORD-003097,2025-03-27,601.00,USD,B072
LE-0000267,ORD-000310,2025-07-08,38.36,USD,B073
LE-0000268,ORD-005699,2025-09-30,119.81,USD,B074
LE-0000269,ORD-008254,2025-12-11,474.51,USD,B075
LE-0000270,ORD-006709,2025-06-07,565.52,USD,B076
LE-0000271,ORD-001308,2025-04-09,353.61,USD,B077
LE-0000272,ORD-005136,2025-07-31,283.93,USD,B078
LE-0000273,ORD-000442,2025-12-13,499.10,USD,B079
LE-0000274,ORD-010607,2025-12-29,172.84,USD,B080
LE-0000275,ORD-004851,2025-10-24,680.27,USD,B081
LE-0000276,ORD-010995,2025-10-22,454.28,USD,B082
LE-0000277,ORD-007190,2025-12-22,836.34,USD,B083
LE-0000278,ORD-001239,2025-12-27,732.97,USD,B084
LE-0000279,ORD-006399,2025-03-14,80.80,USD,B085
LE-0000280,ORD-004747,2025-11-11,674.68,USD,B086
LE-0000281,ORD-005678,2025-10-05,5.31,USD,B087
LE-0000282,ORD-007269,2025-02-01,152.00,USD,B088
LE-0000283,ORD-010686,2025-06-04,684.50,USD,B089
LE-0000284,ORD-005629,2025-05-19,663.86,USD,B090
LE-0000285,ORD-007824,2025-01-10,461.33,USD,B091
LE-0000286,ORD-008249,2025-05-20,795.31,USD,B092
LE-0000287,ORD-008671,2025-03-16,142.11,USD,B093
LE-0000288,ORD-006328,2025-07-14,340.59,USD,B094
LE-0000289,ORD-001156,2025-03-01,435.29,USD,B095
LE-0000290,ORD-004759,2025-09-10,552.37,USD,B096
LE-0000291,ORD-003476,2025-05-12,771.41,USD,B000
LE-0000292,ORD-011720,2025-03-04,70.57,USD,B001
LE-0000293,ORD-001008,2025-07-27,279.42,USD,B002
LE-0000294,ORD-006529,2025-05-01,434.00,USD,B003
LE-0000295,ORD-009302,2025-05-08,459.93,USD,B004
LE-0000296,ORD-004693,2025-02-23,156.00,USD,B005
LE-0000297,ORD-010406,2025-11-17,234.00,USD,B006
LE-0000298,ORD-010120,2025-08-28,579.07,USD,B007
LE-0000299,ORD-001026,2025-01-06,897.47,USD,B008
LE-0000300,ORD-010676,2025-05-23,574.78,USD,B009
LE-0000301,ORD-003774,2025-12-23,364.92,USD,B010
LE-0000302,ORD-006714,2025-03-20,884.00,USD,B011
LE-0000303,ORD-003676,2025-11-12,562.80,USD,B012
LE-0000304,ORD-004603,2025-04-29,565.00,USD,B013
LE-0000305,ORD-004884,2025-04-06,770.26,USD,B014
LE-0000306,ORD-007426,2025-01-15,235.22,USD,B015
LE-0000307,ORD-011728,2025-10-24,654.09,USD,B016
LE-0000308,ORD-008505,2025-02-21,566.93,USD,B017
LE-0000309,ORD-002463,2025-02-01,621.19,USD,B018
LE-0000310,ORD-004416,2025-08-22,134.57,USD,B019
LE-0000311,ORD-005142,2025-01-19,887.39,USD,B020
LE-0000312,ORD-009055,2025-01-23,41.60,USD,B021
LE-0000313,ORD-010041,2025-02-27,382.20,USD,B022
LE-0000314,ORD-004940,2025-03-15,810.00,USD,B023
LE-0000315,ORD-001243,2025-09-23,874.40,USD,B024
LE-0000316,ORD-010492,2025-01-30,714.74,USD,B025
LE-0000317,ORD-011242,2025-10-20,287.56,USD,B026
LE-0000318,ORD-003838,2025-09-12,859.48,USD,B027
LE-0000319,ORD-002109,2025-10-06,641.81,USD,B028
LE-0000320,ORD-007051,2025-02-08,88.49,USD,B029
LE-0000321,ORD-001446,2025-11-26,629.89,USD,B030
LE-0000322,ORD-007735,2025-04-03,504.66,USD,B031
LE-0000323,ORD-000731,2025-04-23,513.09,USD,B032
LE-0000324,ORD-004844,2025-01-23,586.31,USD,B033
LE-0000325,ORD-006941,2025-11-01,465.16,USD,B034
LE-0000326,ORD-006471,2025-10-18,811.19,USD,B035
LE-0000327,ORD-004721,2025-05-30,80.47,USD,B036
LE-0000328,ORD-003484,2025-12-28,527.03,USD,B037
LE-0000329,ORD-009455,2025-08-01,439.09,USD,B038
LE-0000330,ORD-007676,2025-09-05,314.28,USD,B039
LE-0000331,ORD-000692,2025-05-20,171.08,USD,B040
LE-0000332,ORD-003857,2025-09-16,882.21,USD,B041
LE-0000333,ORD-001784,2025-01-17,472.15,USD,B042
LE-0000334,ORD-002069,2025-06-26,263.26,USD,B043
LE-0000335,ORD-011277,2025-08-30,242.88,USD,B044
LE-0000336,ORD-001405,2025-02-08,874.06,USD,B045
LE-0000337,ORD-004433,2025-07-06,291.24,USD,B046
LE-0000338,ORD-003688,2025-06-04,895.07,USD,B047
LE-0000339,ORD-008241,2025-06-11,727.72,USD,B048
LE-0000340,ORD-010061,2025-03-02,425.00,USD,B049
LE-0000341,ORD-002289,2025-03-29,600.39,USD,B050
LE-0000342,ORD-006321,2025-11-30,615.35,USD,B051
LE-0000343,ORD-003737,2025-06-24,850.09,USD,B052
LE-0000344,ORD-003675,2025-10-29,856.98,USD,B053
LE-0000345,ORD-005497,2025-09-14,808.62,USD,B054
LE-0000346,ORD-000226,2025-06-22,176.46,USD,B055
LE-0000347,ORD-005206,2025-05-07,790.31,USD,B056
LE-0000348,ORD-005986,2025-09-17,27.29,USD,B057
LE-0000349,ORD-000799,2025-03-07,128.64,USD,B058
LE-0000350,ORD-009904,2025-05-22,845.43,USD,B059
LE-0000351,ORD-001728,2025-05-23,464.36,USD,B060
LE-0000352,ORD-008617,2025-10-19,808.36,USD,B061
LE-0000353,ORD-008132,2025-02-03,374.63,USD,B062
LE-0000354,ORD-001175,2025-05-18,164.72,USD,B063
LE-0000355,ORD-007936,2025-11-24,309.79,USD,B064
LE-0000356,ORD-001710,2025-03-18,343.07,USD,B065
LE-0000357,ORD-003421,2025-10-06,162.81,USD,B066
LE-0000358,ORD-008096,2025-12-17,541.70,USD,B067
LE-0000359,ORD-000654,2025-03-29,837.00,USD,B068
LE-0000360,ORD-008899,2025-07-07,794.60,USD,B069
LE-0000361,ORD-004300,2025-08-26,402.62,USD,B070
LE-0000362,ORD-006177,2025-07-13,44.03,USD,B071
LE-0000363,ORD-001375,2025-04-27,773.57,USD,B072
LE-0000364,ORD-000768,2025-07-18,284.26,USD,B073
LE-0000365,ORD-006208,2025-04-30,704.57,USD,B074
LE-0000366,ORD-001223,2025-05-05,50.55,USD,B075
LE-0000367,ORD-010730,2025-08-30,772.51,USD,B076
LE-0000368,ORD-004095,2025-10-11,638.07,USD,B077
LE-0000369,ORD-003434,2025-03-02,347.54,USD,B078
LE-0000370,ORD-005521,2025-02-26,277.65,USD,B079
LE-0000371,ORD-001438,2025-06-23,52.19,USD,B080
LE-0000372,ORD-007192,2025-11-19,263.98,USD,B081
LE-0000373,ORD-008315,2025-05-22,143.60,USD,B082
LE-0000374,ORD-001606,2025-08-06,259.12,USD,B083
LE-0000375,ORD-008611,2025-07-16,557.51,USD,B084
LE-0000376,ORD-002445,2025-10-14,254.78,USD,B085
LE-0000377,ORD-001000,2025-04-25,644.00,USD,B086
LE-0000378,ORD-001889,2025-10-27,576.26,USD,B087
LE-0000379,ORD-001920,2025-08-28,63.15,USD,B088
LE-0000380,ORD-005065,2025-08-01,628.87,USD,B089
LE-0000381,ORD-010129,2025-10-29,406.41,USD,B090
LE-0000382,ORD-006010,2025-09-10,12.37,USD,B091
LE-0000383,ORD-003321,2025-07-18,423.88,USD,B092
LE-0000384,ORD-010184,2025-06-07,815.61,USD,B093
LE-0000385,ORD-011027,2025-05-20,271.09,USD,B094
LE-0000386,ORD-003896,2025-02-27,72.74,USD,B095
LE-0000387,ORD-009220,2025-08-28,493.79,USD,B096
LE-0000388,ORD-001257,2025-04-30,861.14,USD,B000
LE-0000389,ORD-008172,2025-07-03,412.36,USD,B001
LE-0000390,ORD-005534,2025-08-30,115.15,USD,B002
LE-0000391,ORD-004392,2025-03-29,513.20,USD,B003
LE-0000392,ORD-002564,2025-07-14,666.01,USD,B004
LE-0000393,ORD-003090,2025-10-07,96.10,USD,B005
LE-0000394,ORD-002760,2025-06-10,588.91,USD,B006
LE-0000395,ORD-009774,2025-12-02,856.59,USD,B007
LE-0000396,ORD-006202,2025-07-08,559.04,USD,B008
LE-0000397,ORD-007899,2025-11-03,802.28,USD,B009
LE-0000398,ORD-005162,2025-11-01,501.87,USD,B010
LE-0000399,ORD-000914,2025-04-17,773.25,USD,B011
LE-0000400,ORD-006340,2025-08-23,95.86,USD,B012
LE-0000401,ORD-006413,2025-10-25,305.60,USD,B013
LE-0000402,ORD-011101,2025-12-14,318.27,USD,B014
LE-0000403,ORD-007139,2025-02-21,224.69,USD,B015
LE-0000404,ORD-011660,2025-07-23,393.40,USD,B016
LE-0000405,ORD-009676,2025-01-01,413.38,USD,B017
LE-0000406,ORD-007559,2025-09-22,271.02,USD,B018
LE-0000407,ORD-003948,2025-05-30,143.18,USD,B019
LE-0000408,ORD-010163,2025-12-22,782.52,USD,B020
LE-0000409,ORD-010086,2025-06-26,770.69,USD,B021
LE-0000410,ORD-005283,2025-05-31,421.42,USD,B022
LE-0000411,ORD-000982,2025-02-24,630.00,USD,B023
LE-0000412,ORD-000060,2025-01-25,708.19,USD,B024
LE-0000413,ORD-006337,2025-02-09,806.28,USD,B025
LE-0000414,ORD-003086,2025-11-03,347.71,USD,B026
LE-0000415,ORD-003714,2025-12-08,56.00,USD,B027
LE-0000416,ORD-009144,2025-08-25,208.49,USD,B028
LE-0000417,ORD-004830,2025-10-24,202.19,USD,B029
LE-0000418,ORD-005471,2025-11-08,81.22,USD,B030
LE-0000419,ORD-011243,2025-01-31,460.08,USD,B031
LE-0000420,ORD-001471,2025-08-06,591.29,USD,B032
LE-0000421,ORD-006568,2025-10-21,450.07,USD,B033
LE-0000422,ORD-009427,2025-07-09,719.43,USD,B034
LE-0000423,ORD-003291,2025-05-09,305.23,USD,B035
LE-0000424,ORD-005234,2025-12-16,169.15,USD,B036
LE-0000425,ORD-008931,2025-12-24,421.85,USD,B037
LE-0000426,ORD-010551,2025-02-22,493.47,USD,B038
LE-0000427,ORD-009108,2025-02-26,686.67,USD,B039
LE-0000428,ORD-000746,2025-08-31,378.48,USD,B040
LE-0000429,ORD-005257,2025-09-25,348.20,USD,B041
LE-0000430,ORD-003865,2025-03-10,222.08,USD,B042
LE-0000431,ORD-000701,2025-12-23,445.11,USD,B043
LE-0000432,ORD-006660,2025-08-30,859.53,USD,B044
LE-0000433,ORD-009251,2025-10-20,165.97,USD,B045
LE-0000434,ORD-008662,2025-02-18,389.49,USD,B046
LE-0000435,ORD-001674,2025-09-08,584.31,USD,B047
LE-0000436,ORD-007884,2025-08-30,222.68,USD,B048
LE-0000437,ORD-004029,2025-03-23,464.11,USD,B049
LE-0000438,ORD-008765,2025-05-19,836.37,USD,B050
LE-0000439,ORD-001279,2025-08-04,456.88,USD,B051
LE-0000440,ORD-006355,2025-01-06,729.70,USD,B052
LE-0000441,ORD-002346,2025-02-21,891.27,USD,B053
LE-0000442,ORD-010926,2025-06-27,421.68,USD,B054
LE-0000443,ORD-007124,2025-01-27,667.83,USD,B055
LE-0000444,ORD-008438,2025-06-01,517.48,USD,B056
LE-0000445,ORD-001602,2025-11-04,582.97,USD,B057
LE-0000446,ORD-009014,2025-07-29,426.02,USD,B058
LE-0000447,ORD-007225,2025-12-26,424.26,USD,B059
LE-0000448,ORD-001406,2025-04-11,677.51,USD,B060
LE-0000449,ORD-010296,2025-12-14,249.91,USD,B061
